School,"OH 
(registration)",Code,Borough,Admissions Type,Notes,"Commute 
(min)","STEM (labs, research, pre-med/engineering)",Soccer or other sports,Rigor vs ADHD supports,Admissions type detail,Lottery impact,Seats vs demand,Commute time notes,Counseling/IEP/504 friendliness,College advising / research,"Arts outcomes (portfolio shows, competitions, design classes)",Clubs/extracurriculars,Notes,Admission,Teaching Philospophy,Advanced Classes,Language s
HSMSE @ CCNY,,M692R,Manhattan,SHSAT,Engineering-focused; Harlem ~50 min,50,General academics with STEM electives,Standard athletics program,,Single test admission,None,Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Queens HS for the Sciences @ York,,Q325R,Queens,SHSAT,Science focus; ~55–60m commute,55,"Strong STEM focus; labs, APs, research",Standard athletics program,,Single test admission,None,Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Frank Sinatra School of the Arts,,Q501A,Queens,Audition (Art),Fine Arts program,45,General academics with STEM electives,Standard athletics program,,Portfolio/audition based,None,Varies; check DOE directory,,,Good outcomes; depends on program,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
HS of Fashion Industries (Art/Fashion),,M600A,Manhattan,Audition (Fashion),Fashion Design,40,General academics with STEM electives,Standard athletics program,,Portfolio/audition based,None,Varies; check DOE directory,,,Good outcomes; depends on program,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
HS of Fashion Industries (Merchandising),,M600B,Manhattan,Audition (Fashion),Fashion Merchandising,40,General academics with STEM electives,Standard athletics program,,Portfolio/audition based,None,Varies; check DOE directory,,,Good outcomes; depends on program,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
Manhattan Center for Science & Mathematics,,M435M,Manhattan,Screened,Strong STEM; East Harlem,55,"Strong STEM focus; labs, APs, research",Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
NYC Lab School,,M412M,Manhattan,Screened,Chelsea; project-based,40,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Edward R. Murrow HS (Communication Arts),In person,K485C,Brooklyn,Ed Opt,Arts-heavy option,55,General academics with STEM electives,Has PSAL soccer program,,Mix of screened + lottery admissions,Medium/High (lottery matters a lot),Moderate demand; many seats,,,Solid outcomes; varied advising,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
Edward R. Murrow HS (Science Institute),In person,K485S,Brooklyn,Ed Opt,Science/AP-heavy option,55,"Strong STEM focus; labs, APs, research",Has PSAL soccer program,,Mix of screened + lottery admissions,Medium/High (lottery matters a lot),Moderate demand; many seats,,,Solid outcomes; varied advising,Strong performing/visual arts,,,,,,
Bard HS Early College (Manhattan),,M696M,Manhattan,Screened,Early college AA; LES,35,Strong academics; early college credits,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,,,,,
Bard HS Early College (Queens),,Q299M,Queens,Screened,Early college AA; Astoria,55,Strong academics; early college credits,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Very high demand; selective,,,Excellent outcomes; strong advising,Arts electives; not main focus,,,,,,
HS of Telecommunication Arts & Tech,,K485M,Brooklyn,Screened,Tech-focused; Bay Ridge,60,"Strong STEM focus; labs, APs, research",Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Strong visual/fashion arts; portfolio/exhibitions,,,,,,
Brooklyn College Academy,In person,K555M,Brooklyn,Screened,College courses; Flatbush,60,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
Forest Hills HS (Honors),,Q440H,Queens,Screened,Honors/AP + arts,60,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Moderate demand; many seats,,,Solid outcomes; varied advising,Arts electives; not main focus,,,,,,
Baccalaureate School for Global Education,,Q535M,Queens,Screened,IB program; Astoria,50,General academics with STEM electives,Standard athletics program,,"Grades/test scores/essays used, then lottery tie-break",Low (lottery tie-break within grade band),Varies; check DOE directory,,,Good outcomes; depends on program,Arts electives; not main focus,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,None - lottery is not used ,,,,,,,,,,,
